ds,department,y
2020-01-12,Food,10304.59
2020-01-12,Clothing,8250.39
2020-01-12,Home Essentials,1727.51
2020-01-13,Books,0.0
2020-01-13,Clothing,5316.97
2020-01-13,Food,12539.779999999999
2020-01-13,Home Essentials,4258.46
2020-01-13,Kitchen & Cooking,1206.77
2020-01-13,Small Electronics,5114.08
2020-01-13,Stationery,1020.86
2020-01-13,Utensils,2322.5
2020-01-14,Utensils,2553.98
2020-01-14,Stationery,495.65000000000003
2020-01-14,Small Electronics,2739.62
2020-01-14,Kitchen & Cooking,847.19
2020-01-14,Books,1282.73
2020-01-14,Food,10252.79
2020-01-14,Clothing,5238.75
2020-01-14,Home Essentials,2292.67
2020-01-15,Small Electronics,0.0
2020-01-15,Utensils,1964.6499999999999
2020-01-15,Stationery,878.13
2020-01-15,Kitchen & Cooking,2807.38
2020-01-15,Clothing,7222.21
2020-01-15,Food,16141.029999999999
2020-01-15,Books,0.0
2020-01-15,Home Essentials,806.0600000000001
2020-01-16,Books,0.0
2020-01-16,Clothing,3545.7400000000002
2020-01-16,Food,11313.26
2020-01-16,Home Essentials,857.71
2020-01-16,Kitchen & Cooking,4116.76
2020-01-16,Small Electronics,917.1800000000001
2020-01-16,Stationery,1596.83
2020-01-16,Utensils,1309.99
2020-01-17,Utensils,2122.77
2020-01-17,Stationery,1684.27
2020-01-17,Kitchen & Cooking,5361.16
2020-01-17,Small Electronics,3569.89
2020-01-17,Food,13442.039999999999
2020-01-17,Clothing,4522.18
2020-01-17,Books,1373.72
2020-01-17,Home Essentials,4114.08
2020-01-18,Books,0.0
2020-01-18,Clothing,5535.34
2020-01-18,Food,10170.92
2020-01-18,Home Essentials,3584.36
2020-01-18,Kitchen & Cooking,3707.4300000000003
2020-01-18,Small Electronics,8232.5
2020-01-18,Stationery,787.8
2020-01-18,Utensils,2362.52
2020-01-19,Small Electronics,3648.53
2020-01-19,Utensils,2096.89
2020-01-19,Stationery,1244.3999999999999
2020-01-19,Kitchen & Cooking,2034.86
2020-01-19,Clothing,4576.09
2020-01-19,Food,11789.3
2020-01-19,Home Essentials,3854.08
2020-01-19,Books,821.31
2020-01-20,Books,1461.69
2020-01-20,Clothing,5514.16
2020-01-20,Food,7981.58
2020-01-20,Home Essentials,2677.9900000000002
2020-01-20,Kitchen & Cooking,6850.37
2020-01-20,Small Electronics,5456.05
2020-01-20,Stationery,1075.62
2020-01-20,Utensils,0.0
2020-01-21,Utensils,0.0
2020-01-21,Stationery,1091.6399999999999
2020-01-21,Small Electronics,1619.22
2020-01-21,Kitchen & Cooking,4541.79
2020-01-21,Clothing,4880.5
2020-01-21,Food,12688.539999999999
2020-01-21,Home Essentials,2744.07
2020-01-21,Books,2482.14
2020-01-22,Kitchen & Cooking,3510.6099999999997
2020-01-22,Utensils,3272.51
2020-01-22,Stationery,877.53
2020-01-22,Small Electronics,4790.95
2020-01-22,Home Essentials,1269.3899999999999
2020-01-22,Clothing,1526.1
2020-01-22,Books,408.17
2020-01-22,Food,14116.75
2020-01-23,Stationery,1604.09
2020-01-23,Small Electronics,3259.5499999999997
2020-01-23,Kitchen & Cooking,2300.05
2020-01-23,Utensils,1251.69
2020-01-23,Food,9747.52
2020-01-23,Clothing,4204.9800000000005
2020-01-23,Books,136.54
2020-01-23,Home Essentials,4097.21
2020-01-24,Books,675.31
2020-01-24,Clothing,5723.34
2020-01-24,Food,10591.61
2020-01-24,Home Essentials,3507.31
2020-01-24,Kitchen & Cooking,674.19
2020-01-24,Small Electronics,2722.89
2020-01-24,Stationery,1148.91
2020-01-24,Utensils,818.42
2020-01-25,Small Electronics,1284.18
2020-01-25,Stationery,1548.26
2020-01-25,Kitchen & Cooking,3606.9700000000003
2020-01-25,Utensils,1862.8600000000001
2020-01-25,Food,11182.55
2020-01-25,Clothing,9934.72
2020-01-25,Books,756.52
2020-01-25,Home Essentials,2925.42
2020-01-26,Books,88.62
2020-01-26,Clothing,7569.92
2020-01-26,Food,12652.75
2020-01-26,Home Essentials,1224.49
2020-01-26,Kitchen & Cooking,2590.19
2020-01-26,Small Electronics,7668.92
2020-01-26,Stationery,1393.56
2020-01-26,Utensils,1600.98
2020-01-27,Utensils,2115.46
2020-01-27,Stationery,1321.73
2020-01-27,Small Electronics,0.0
2020-01-27,Kitchen & Cooking,116.2
2020-01-27,Home Essentials,3047.2200000000003
2020-01-27,Clothing,10323.28
2020-01-27,Books,1198.04
2020-01-27,Food,12637.03
2020-01-28,Books,684.64
2020-01-28,Clothing,2522.2200000000003
2020-01-28,Food,13074.12
2020-01-28,Home Essentials,3233.96
2020-01-28,Kitchen & Cooking,2418.27
2020-01-28,Small Electronics,4825.81
2020-01-28,Stationery,2080.75
2020-01-28,Utensils,409.33
2020-01-29,Stationery,842.21
2020-01-29,Utensils,193.71
2020-01-29,Kitchen & Cooking,2328.9
2020-01-29,Small Electronics,5209.41
2020-01-29,Food,13894.79
2020-01-29,Home Essentials,2302.24
2020-01-29,Clothing,3117.89
2020-01-29,Books,1975.71
2020-01-30,Stationery,590.48
2020-01-30,Small Electronics,539.61
2020-01-30,Kitchen & Cooking,1991.41
2020-01-30,Utensils,1813.8700000000001
2020-01-30,Food,8396.82
2020-01-30,Clothing,4473.32
2020-01-30,Books,1366.38
2020-01-30,Home Essentials,1849.1599999999999
2020-01-31,Books,1393.35
2020-01-31,Clothing,7387.83
2020-01-31,Food,9552.8
2020-01-31,Home Essentials,1811.27
2020-01-31,Kitchen & Cooking,6695.849999999999
2020-01-31,Small Electronics,1999.8400000000001
2020-01-31,Stationery,1386.34
2020-01-31,Utensils,3669.57
2020-02-01,Small Electronics,4274.719999999999
2020-02-01,Stationery,788.99
2020-02-01,Kitchen & Cooking,1971.23
2020-02-01,Utensils,5787.48
2020-02-01,Food,12366.84
2020-02-01,Clothing,5830.77
2020-02-01,Books,1098.74
2020-02-01,Home Essentials,2865.53
2020-02-02,Books,756.8800000000001
2020-02-02,Clothing,7201.459999999999
2020-02-02,Food,14769.88
2020-02-02,Home Essentials,2587.94
2020-02-02,Kitchen & Cooking,911.73
2020-02-02,Small Electronics,3158.6400000000003
2020-02-02,Stationery,1183.08
2020-02-02,Utensils,1659.05
2020-02-03,Utensils,2575.74
2020-02-03,Stationery,767.73
2020-02-03,Small Electronics,2506.29
2020-02-03,Kitchen & Cooking,1179.54
2020-02-03,Home Essentials,3018.84
2020-02-03,Clothing,3653.41
2020-02-03,Books,963.0799999999999
2020-02-03,Food,7874.86
2020-02-04,Books,969.91
2020-02-04,Clothing,3934.46
2020-02-04,Food,11409.7
2020-02-04,Home Essentials,1031.1399999999999
2020-02-04,Kitchen & Cooking,1645.91
2020-02-04,Small Electronics,0.0
2020-02-04,Stationery,1013.99
2020-02-04,Utensils,1907.75
2020-02-05,Small Electronics,4973.82
2020-02-05,Utensils,640.1
2020-02-05,Stationery,2326.54
2020-02-05,Kitchen & Cooking,3191.27
2020-02-05,Home Essentials,2931.8
2020-02-05,Food,15253.06
2020-02-05,Clothing,7066.29
2020-02-05,Books,1549.96
2020-02-06,Stationery,650.9200000000001
2020-02-06,Small Electronics,1419.52
2020-02-06,Kitchen & Cooking,3104.7200000000003
2020-02-06,Utensils,2449.1
2020-02-06,Food,12701.880000000001
2020-02-06,Clothing,6371.9
2020-02-06,Books,390.53
2020-02-06,Home Essentials,1772.6100000000001
2020-02-07,Books,176.73
2020-02-07,Clothing,2584.99
2020-02-07,Food,12246.23
2020-02-07,Home Essentials,2767.62
2020-02-07,Kitchen & Cooking,5489.26
2020-02-07,Small Electronics,1316.8
2020-02-07,Stationery,1178.1399999999999
2020-02-07,Utensils,2055.11
2020-02-08,Small Electronics,2679.65
2020-02-08,Stationery,1734.21
2020-02-08,Kitchen & Cooking,4650.47
2020-02-08,Utensils,1652.75
2020-02-08,Food,11469.2
2020-02-08,Clothing,7354.66
2020-02-08,Books,566.42
2020-02-08,Home Essentials,2099.83
2020-02-09,Books,1146.25
2020-02-09,Clothing,3868.19
2020-02-09,Food,9769.64
2020-02-09,Home Essentials,6304.139999999999
2020-02-09,Kitchen & Cooking,2674.25
2020-02-09,Small Electronics,5053.43
2020-02-09,Stationery,297.25
2020-02-09,Utensils,1580.87
2020-02-10,Utensils,5477.04
2020-02-10,Stationery,799.99
2020-02-10,Small Electronics,2140.32
2020-02-10,Kitchen & Cooking,608.72
2020-02-10,Home Essentials,3745.65
2020-02-10,Clothing,5969.88
2020-02-10,Books,1152.5
2020-02-10,Food,10784.91
2020-02-11,Books,1695.38
2020-02-11,Clothing,1265.45
2020-02-11,Food,8912.19
2020-02-11,Home Essentials,2271.6800000000003
2020-02-11,Kitchen & Cooking,4245.49
2020-02-11,Small Electronics,2897.21
2020-02-11,Stationery,1667.92
2020-02-11,Utensils,4271.4400000000005
2020-02-12,Small Electronics,1546.99
2020-02-12,Stationery,552.74
2020-02-12,Kitchen & Cooking,714.43
2020-02-12,Utensils,2343.04
2020-02-12,Food,14569.24
2020-02-12,Clothing,4628.75
2020-02-12,Books,1579.92
2020-02-12,Home Essentials,3477.94
2020-02-13,Stationery,1930.0700000000002
2020-02-13,Small Electronics,7368.87
2020-02-13,Kitchen & Cooking,2293.62
2020-02-13,Utensils,1365.75
2020-02-13,Food,11652.66
2020-02-13,Clothing,1614.52
2020-02-13,Books,1409.3600000000001
2020-02-13,Home Essentials,3023.37
2020-02-14,Books,0.0
2020-02-14,Clothing,2400.17
2020-02-14,Food,7385.63
2020-02-14,Home Essentials,2225.66
2020-02-14,Kitchen & Cooking,1739.73
2020-02-14,Small Electronics,1694.4699999999998
2020-02-14,Stationery,76.35
2020-02-14,Utensils,2962.42
2020-02-15,Small Electronics,4383.44
2020-02-15,Stationery,1486.72
2020-02-15,Kitchen & Cooking,2765.39
2020-02-15,Utensils,568.62
2020-02-15,Food,12043.0
2020-02-15,Clothing,5860.58
2020-02-15,Books,840.82
2020-02-15,Home Essentials,4725.63
2020-02-16,Books,250.23
2020-02-16,Clothing,7858.2
2020-02-16,Food,13174.59
2020-02-16,Home Essentials,2708.48
2020-02-16,Kitchen & Cooking,4379.87
2020-02-16,Small Electronics,5463.37
2020-02-16,Stationery,1446.36
2020-02-16,Utensils,2748.99
2020-02-17,Utensils,2081.26
2020-02-17,Stationery,223.96
2020-02-17,Small Electronics,1965.17
2020-02-17,Kitchen & Cooking,3195.06
2020-02-17,Home Essentials,3832.75
2020-02-17,Clothing,7727.46
2020-02-17,Books,690.02
2020-02-17,Food,12005.630000000001
2020-02-18,Books,1008.21
2020-02-18,Clothing,978.37
2020-02-18,Food,11479.05
2020-02-18,Home Essentials,2016.25
2020-02-18,Kitchen & Cooking,3954.38
2020-02-18,Small Electronics,4919.5
2020-02-18,Stationery,714.62
2020-02-18,Utensils,2047.15
2020-02-19,Small Electronics,5654.26
2020-02-19,Stationery,892.4200000000001
2020-02-19,Kitchen & Cooking,1341.04
2020-02-19,Utensils,2843.64
2020-02-19,Food,9880.49
2020-02-19,Books,890.3
2020-02-19,Home Essentials,2850.86
2020-02-19,Clothing,5467.889999999999
2020-02-20,Books,2499.84
2020-02-20,Clothing,3085.7999999999997
2020-02-20,Food,9853.0
2020-02-20,Home Essentials,5378.69
2020-02-20,Kitchen & Cooking,2083.55
2020-02-20,Small Electronics,4948.07
2020-02-20,Stationery,835.38
2020-02-20,Utensils,539.3699999999999
2020-02-21,Small Electronics,3935.29
2020-02-21,Utensils,4038.87
2020-02-21,Stationery,711.14
2020-02-21,Kitchen & Cooking,5522.889999999999
2020-02-21,Home Essentials,4705.05
2020-02-21,Food,9414.45
2020-02-21,Clothing,2087.15
2020-02-21,Books,629.66
2020-02-22,Books,477.65
2020-02-22,Clothing,4530.59
2020-02-22,Food,11351.34
2020-02-22,Home Essentials,3747.9300000000003
2020-02-22,Kitchen & Cooking,4258.43
2020-02-22,Small Electronics,4104.76
2020-02-22,Stationery,709.79
2020-02-22,Utensils,3592.63
2020-02-23,Stationery,865.56
2020-02-23,Small Electronics,3783.71
2020-02-23,Kitchen & Cooking,2844.3199999999997
2020-02-23,Utensils,2364.25
2020-02-23,Home Essentials,2301.18
2020-02-23,Clothing,5483.72
2020-02-23,Books,1468.41
2020-02-23,Food,12029.92
2020-02-24,Books,2037.81
2020-02-24,Clothing,8940.800000000001
2020-02-24,Food,7991.63
2020-02-24,Home Essentials,2463.8599999999997
2020-02-24,Kitchen & Cooking,3736.9900000000002
2020-02-24,Small Electronics,2919.04
2020-02-24,Stationery,494.28999999999996
2020-02-24,Utensils,2895.05
2020-02-25,Utensils,2727.54
2020-02-25,Stationery,2322.51
2020-02-25,Small Electronics,2752.86
2020-02-25,Kitchen & Cooking,292.22
2020-02-25,Food,13032.960000000001
2020-02-25,Clothing,4121.29
2020-02-25,Books,1061.35
2020-02-25,Home Essentials,3101.36
2020-02-26,Books,751.13
2020-02-26,Clothing,3623.2200000000003
2020-02-26,Food,8120.87
2020-02-26,Home Essentials,3733.95
2020-02-26,Kitchen & Cooking,4101.8
2020-02-26,Small Electronics,7387.26
2020-02-26,Stationery,1013.62
2020-02-26,Utensils,5958.860000000001
2020-02-27,Small Electronics,3272.9
2020-02-27,Utensils,744.5600000000001
2020-02-27,Stationery,785.02
2020-02-27,Kitchen & Cooking,7150.93
2020-02-27,Clothing,7484.95
2020-02-27,Food,12450.74
2020-02-27,Home Essentials,2582.42
2020-02-27,Books,1266.54
2020-02-28,Books,930.17
2020-02-28,Clothing,3867.0099999999998
2020-02-28,Food,9141.11
2020-02-28,Home Essentials,1800.07
2020-02-28,Kitchen & Cooking,169.07
2020-02-28,Small Electronics,513.45
2020-02-28,Stationery,1508.49
2020-02-28,Utensils,2437.75
2020-02-29,Utensils,2638.04
2020-02-29,Stationery,1501.1000000000001
2020-02-29,Small Electronics,718.61
2020-02-29,Kitchen & Cooking,5318.99
2020-02-29,Home Essentials,2741.04
2020-02-29,Food,11377.81
2020-02-29,Clothing,4746.2
2020-02-29,Books,1825.19
2020-03-01,Books,1685.8400000000001
2020-03-01,Clothing,3568.57
2020-03-01,Food,12475.52
2020-03-01,Home Essentials,2523.44
2020-03-01,Kitchen & Cooking,1745.44
2020-03-01,Small Electronics,0.0
2020-03-01,Stationery,1177.96
2020-03-01,Utensils,1937.8700000000001
2020-03-02,Utensils,2813.5299999999997
2020-03-02,Stationery,1045.65
2020-03-02,Small Electronics,3994.87
2020-03-02,Kitchen & Cooking,918.58
2020-03-02,Food,16336.99
2020-03-02,Clothing,4672.73
2020-03-02,Books,125.25
2020-03-02,Home Essentials,1761.0700000000002
2020-03-03,Books,622.03
2020-03-03,Clothing,7937.62
2020-03-03,Food,13185.05
2020-03-03,Home Essentials,1333.8000000000002
2020-03-03,Kitchen & Cooking,5398.71
2020-03-03,Small Electronics,3831.61
2020-03-03,Stationery,781.77
2020-03-03,Utensils,4840.99
2020-03-04,Home Essentials,3152.2
2020-03-04,Utensils,2656.62
2020-03-04,Stationery,2008.83
2020-03-04,Small Electronics,347.9
2020-03-04,Food,11254.800000000001
2020-03-04,Clothing,4146.79
2020-03-04,Books,1421.67
2020-03-04,Kitchen & Cooking,6426.2699999999995
2020-03-05,Utensils,2592.88
2020-03-05,Books,566.61
2020-03-05,Clothing,5972.9800000000005
2020-03-05,Food,11609.3
2020-03-05,Home Essentials,4619.69
2020-03-05,Kitchen & Cooking,2390.15
2020-03-05,Small Electronics,0.0
2020-03-05,Stationery,521.19
2020-03-06,Stationery,1029.9
2020-03-06,Small Electronics,3552.98
2020-03-06,Utensils,1788.1599999999999
2020-03-06,Kitchen & Cooking,2317.25
2020-03-06,Books,640.61
2020-03-06,Food,6516.860000000001
2020-03-06,Clothing,7996.94
2020-03-06,Home Essentials,4059.3599999999997
2020-03-07,Books,1538.23
2020-03-07,Clothing,4855.8
2020-03-07,Food,13981.61
2020-03-07,Home Essentials,5223.89
2020-03-07,Kitchen & Cooking,3620.9599999999996
2020-03-07,Small Electronics,0.0
2020-03-07,Stationery,844.05
2020-03-07,Utensils,1390.33
2020-03-08,Utensils,2872.0600000000004
2020-03-08,Stationery,805.22
2020-03-08,Small Electronics,146.28
2020-03-08,Kitchen & Cooking,4510.09
2020-03-08,Food,14070.23
2020-03-08,Clothing,9108.23
2020-03-08,Books,982.22
2020-03-08,Home Essentials,3144.11
2020-03-09,Books,80.93
2020-03-09,Clothing,5476.84
2020-03-09,Food,15503.08
2020-03-09,Home Essentials,1926.7
2020-03-09,Kitchen & Cooking,0.0
2020-03-09,Small Electronics,6000.18
2020-03-09,Stationery,1689.29
2020-03-09,Utensils,2789.13
2020-03-10,Small Electronics,327.25
2020-03-10,Utensils,590.95
2020-03-10,Stationery,2170.39
2020-03-10,Kitchen & Cooking,1313.84
2020-03-10,Books,1003.93
2020-03-10,Food,14301.97
2020-03-10,Clothing,2348.34
2020-03-10,Home Essentials,1578.21
2020-03-11,Books,2148.98
2020-03-11,Clothing,8420.68
2020-03-11,Food,9703.470000000001
2020-03-11,Home Essentials,1610.45
2020-03-11,Kitchen & Cooking,576.96
2020-03-11,Small Electronics,2776.09
2020-03-11,Stationery,1284.1399999999999
2020-03-11,Utensils,1891.23
2020-03-12,Utensils,1354.8799999999999
2020-03-12,Stationery,608.87
2020-03-12,Small Electronics,6488.8
2020-03-12,Kitchen & Cooking,3091.56
2020-03-12,Books,1475.96
2020-03-12,Food,12267.98
2020-03-12,Clothing,578.17
2020-03-12,Home Essentials,2473.48
2020-03-13,Small Electronics,826.26
2020-03-13,Utensils,4658.1
2020-03-13,Stationery,863.0500000000001
2020-03-13,Kitchen & Cooking,0.0
2020-03-13,Books,1964.9099999999999
2020-03-13,Food,13607.33
2020-03-13,Home Essentials,3827.67
2020-03-13,Clothing,4708.09
2020-03-14,Books,654.35
2020-03-14,Clothing,5292.45
2020-03-14,Food,13184.17
2020-03-14,Home Essentials,3988.16
2020-03-14,Kitchen & Cooking,4267.93
2020-03-14,Small Electronics,8033.99
2020-03-14,Stationery,625.41
2020-03-14,Utensils,2258.42
2020-03-15,Small Electronics,4604.09
2020-03-15,Utensils,2330.2
2020-03-15,Stationery,459.58
2020-03-15,Kitchen & Cooking,5635.33
2020-03-15,Books,1369.71
2020-03-15,Food,15150.04
2020-03-15,Clothing,4249.15
2020-03-15,Home Essentials,3303.04
2020-03-16,Small Electronics,4014.92
2020-03-16,Stationery,1646.82
2020-03-16,Kitchen & Cooking,5406.889999999999
2020-03-16,Utensils,2355.66
2020-03-16,Food,15685.91
2020-03-16,Clothing,2206.28
2020-03-16,Books,512.83
2020-03-16,Home Essentials,3377.99
2020-03-17,Utensils,1501.91
2020-03-17,Small Electronics,3064.22
2020-03-17,Stationery,1483.58
2020-03-17,Kitchen & Cooking,2626.0699999999997
2020-03-17,Books,727.22
2020-03-17,Food,13454.35
2020-03-17,Clothing,2881.63
2020-03-17,Home Essentials,4598.01
2020-03-18,Stationery,1664.2
2020-03-18,Small Electronics,3848.0499999999997
2020-03-18,Kitchen & Cooking,480.96
2020-03-18,Utensils,5217.53
2020-03-18,Food,10899.79
2020-03-18,Clothing,3015.59
2020-03-18,Books,1408.5900000000001
2020-03-18,Home Essentials,4984.7300000000005
2020-03-19,Books,537.23
2020-03-19,Clothing,5101.45
2020-03-19,Food,9834.75
2020-03-19,Home Essentials,4027.2
2020-03-19,Kitchen & Cooking,249.87
2020-03-19,Small Electronics,4318.9
2020-03-19,Stationery,1150.6299999999999
2020-03-19,Utensils,3511.6099999999997
2020-03-20,Small Electronics,2286.47
2020-03-20,Stationery,546.73
2020-03-20,Utensils,2749.7
2020-03-20,Kitchen & Cooking,638.56
2020-03-20,Food,14769.32
2020-03-20,Clothing,4463.35
2020-03-20,Books,0.0
2020-03-20,Home Essentials,5555.95
2020-03-21,Stationery,659.8399999999999
2020-03-21,Small Electronics,2107.17
2020-03-21,Kitchen & Cooking,372.88
2020-03-21,Utensils,2845.14
2020-03-21,Food,19230.100000000002
2020-03-21,Clothing,6044.42
2020-03-21,Books,325.64
2020-03-21,Home Essentials,2302.92
2020-03-22,Books,1232.76
2020-03-22,Clothing,6543.370000000001
2020-03-22,Food,14331.66
2020-03-22,Home Essentials,1633.76
2020-03-22,Kitchen & Cooking,4401.73
2020-03-22,Small Electronics,5715.97
2020-03-22,Stationery,1575.54
2020-03-22,Utensils,1815.24
2020-03-23,Small Electronics,573.53
2020-03-23,Stationery,1744.1599999999999
2020-03-23,Kitchen & Cooking,437.58
2020-03-23,Utensils,470.06
2020-03-23,Food,10752.59
2020-03-23,Clothing,4501.99
2020-03-23,Books,1025.92
2020-03-23,Home Essentials,4846.11
2020-03-24,Books,583.66
2020-03-24,Clothing,5151.860000000001
2020-03-24,Food,11269.22
2020-03-24,Home Essentials,3217.29
2020-03-24,Kitchen & Cooking,3271.16
2020-03-24,Small Electronics,2793.79
2020-03-24,Stationery,1699.8200000000002
2020-03-24,Utensils,1993.47
2020-03-25,Utensils,1356.38
2020-03-25,Stationery,1014.36
2020-03-25,Small Electronics,1758.81
2020-03-25,Kitchen & Cooking,0.0
2020-03-25,Home Essentials,2770.76
2020-03-25,Clothing,3117.94
2020-03-25,Books,1838.52
2020-03-25,Food,9064.8
2020-03-26,Books,932.5899999999999
2020-03-26,Clothing,5701.66
2020-03-26,Food,9747.65
2020-03-26,Home Essentials,2609.88
2020-03-26,Kitchen & Cooking,0.0
2020-03-26,Small Electronics,2660.96
2020-03-26,Stationery,581.8199999999999
2020-03-26,Utensils,3607.3199999999997
2020-03-27,Small Electronics,1436.51
2020-03-27,Utensils,1058.81
2020-03-27,Stationery,1099.3400000000001
2020-03-27,Kitchen & Cooking,4554.88
2020-03-27,Books,1209.77
2020-03-27,Food,10437.939999999999
2020-03-27,Home Essentials,1001.9
2020-03-27,Clothing,804.2
2020-03-28,Books,1130.47
2020-03-28,Clothing,4756.08
2020-03-28,Food,13272.1
2020-03-28,Home Essentials,2649.7200000000003
2020-03-28,Kitchen & Cooking,11129.43
2020-03-28,Small Electronics,261.21
2020-03-28,Stationery,1559.78
2020-03-28,Utensils,3334.85
2020-03-29,Utensils,1989.15
2020-03-29,Stationery,1247.56
2020-03-29,Kitchen & Cooking,5314.82
2020-03-29,Small Electronics,4883.38
2020-03-29,Food,11680.61
2020-03-29,Clothing,2021.77
2020-03-29,Books,0.0
2020-03-29,Home Essentials,3542.9
2020-03-30,Books,979.22
2020-03-30,Clothing,3579.99
2020-03-30,Food,10011.76
2020-03-30,Home Essentials,1552.51
2020-03-30,Kitchen & Cooking,1603.92
2020-03-30,Small Electronics,967.06
2020-03-30,Stationery,966.75
2020-03-30,Utensils,868.13
2020-03-31,Small Electronics,12858.49
2020-03-31,Utensils,1425.79
2020-03-31,Stationery,847.97
2020-03-31,Kitchen & Cooking,3068.5199999999995
2020-03-31,Clothing,2496.98
2020-03-31,Food,11813.29
2020-03-31,Books,674.8800000000001
2020-03-31,Home Essentials,2835.92
2020-04-01,Books,0.0
2020-04-01,Clothing,6853.99
2020-04-01,Food,14032.23
2020-04-01,Home Essentials,2947.13
2020-04-01,Kitchen & Cooking,4802.42
2020-04-01,Small Electronics,5217.13
2020-04-01,Stationery,1045.66
2020-04-01,Utensils,1859.32
2020-04-02,Utensils,1033.76
2020-04-02,Stationery,1345.6
2020-04-02,Small Electronics,6887.54
2020-04-02,Kitchen & Cooking,2288.62
2020-04-02,Books,1199.24
2020-04-02,Food,19438.7
2020-04-02,Clothing,8140.09
2020-04-02,Home Essentials,1865.6100000000001
2020-04-03,Small Electronics,6493.37
2020-04-03,Utensils,2460.4700000000003
2020-04-03,Stationery,1376.51
2020-04-03,Kitchen & Cooking,608.05
2020-04-03,Home Essentials,3096.39
2020-04-03,Food,11908.23
2020-04-03,Clothing,3485.55
2020-04-03,Books,799.73
2020-04-04,Stationery,692.11
2020-04-04,Small Electronics,2241.32
2020-04-04,Kitchen & Cooking,7603.17
2020-04-04,Utensils,2422.7
2020-04-04,Food,13537.85
2020-04-04,Clothing,6854.2
2020-04-04,Books,541.86
2020-04-04,Home Essentials,3297.55
2020-04-05,Books,1276.95
2020-04-05,Clothing,11736.95
2020-04-05,Food,17757.97
2020-04-05,Home Essentials,1416.55
2020-04-05,Kitchen & Cooking,3732.46
2020-04-05,Small Electronics,3840.97
2020-04-05,Stationery,690.44
2020-04-05,Utensils,1992.46
2020-04-06,Small Electronics,2759.89
2020-04-06,Stationery,1672.42
